Name	Regen	Batch	Animal	Groups	Clusters
NewRegNoReg266	YES	12	41897	1	YES1
NewRegNoReg267	YES	12	41897	1	YES1
NewRegNoReg268	NO	12	41897	2	NO1
NewRegNoReg269	NO	12	41897	2	NO1
NewRegNoReg26	YES	6	24857	1	YES2
NewRegNoReg270	NO	12	41897	2	NO1
NewRegNoReg27	NO	6	24857	2	NO1
NewRegNoReg28	NO	6	24857	2	NO2
NewRegNoReg30	YES	6	24858	1	Removed
NewRegNoReg31	NO	6	24858	2	NO2
NewRegNoReg32	NO	6	24861	2	NO2
NewRegNoReg33	NO	6	24861	2	NO2
NewRegNoReg34	YES	6	24861	1	YES2
NewRegNoReg35	NO	6	24861	2	NO1
NewRegNoReg36	YES	6	24861	1	YES2
NewRegNoReg37	NO	6	24861	2	NO2
NewRegNoReg38	YES	6	24861	1	YES1
NewRegNoReg39	NO	6	24861	2	NO2
NewRegNoReg40	YES	6	24861	1	YES1
NewRegNoReg41	NO	6	24861	2	NO2
NewRegNoReg42	YES	6	24861	1	YES1
NewRegNoReg43	NO	8	41852	2	NO2
NewRegNoReg44	NO	8	41852	2	NO2
NewRegNoReg45	YES	8	41852	1	YES1
NewRegNoReg46	YES	8	41852	1	YES2
NewRegNoReg47	NO	8	41852	2	NO1
NewRegNoReg48	YES	8	41852	1	YES1
NewRegNoReg49	YES	8	41852	1	YES2
NewRegNoReg50	NO	8	41853	2	NO1
NewRegNoReg51	NO	8	41853	2	NO2
NewRegNoReg52	NO	8	41853	2	NO1
NewRegNoReg53	YES	8	41853	1	YES1
NewRegNoReg54	YES	8	41853	1	YES1
NewRegNoReg55	NO	8	41853	2	NO1
NewRegNoReg56	NO	8	41853	2	NO1
NewRegNoReg57	YES	8	41853	1	YES1
NewRegNoReg58	NO	8	41853	2	NO1
NewRegNoReg59	NO	8	41853	2	NO1
NewRegNoReg60	NO	8	41872	2	NO1
NewRegNoReg61	YES	8	41872	1	YES1
NewRegNoReg62	YES	8	41872	1	YES1
NewRegNoReg63	YES	8	41872	1	YES1
NewRegNoReg64	YES	8	41872	1	YES1
NewRegNoReg65	NO	8	41872	2	NO1
NewRegNoReg66	YES	8	41872	1	YES1
NewRegNoReg67	NO	8	41872	2	NO1
NewRegNoReg68	YES	8	41872	1	YES1
NewRegNoReg69	NO	8	41872	2	NO1
NewRegNoReg70	NO	8	41872	2	NO1
NewRegNoReg71	NO	8	41872	2	NO1
NewRegNoReg72	NO	8	41871	2	NO1
NewRegNoReg73	NO	8	41871	2	NO1
NewRegNoReg74	YES	8	41871	1	YES1
NewRegNoReg75	NO	8	41871	2	NO1
NewRegNoReg76	NO	8	41871	2	NO1
NewRegNoReg77	YES	8	41871	1	YES1
NewRegNoReg78	NO	8	41871	2	NO1
NewRegNoReg79	NO	8	41871	2	NO1
NewRegNoReg80	YES	8	41871	1	YES1
NewRegNoReg81	YES	8	41871	1	YES1
NewRegNoReg82	NO	8	41871	2	NO1
NewRegNoReg83	YES	8	41871	1	YES1
NewRegNoReg84	NO	8	41871	2	NO1
NewRegNoReg85	NO	8	41871	2	NO1
NewRegNoReg86	NO	8	41871	2	NO1
NewRegNoReg87	YES	8	41871	1	YES1
NewRegNoReg88	YES	8	41871	1	YES1
NewRegNoReg89	YES	8	41871	1	YES1
NewRegNoReg90	NO	9	41871	2	NO1
NewRegNoReg91	YES	9	41873	1	YES1
NewRegNoReg92	YES	9	41873	1	YES1
NewRegNoReg93	YES	9	41873	1	YES1
NewRegNoReg94	YES	9	41873	1	YES1
NewRegNoReg95	YES	9	41873	1	YES1
NewRegNoReg96	YES	9	41873	1	YES1
NewRegNoReg97	YES	9	41873	1	YES1
NewRegNoReg98	YES	9	41873	1	YES1
NewRegNoReg99	YES	9	41873	1	YES1
RefBatch11	Ref	11	32978	3	Removed
RefBatch7O	Ref	7	32978	3	Removed
RefBatch10	Ref	10	32978	3	Removed
RefBatch5Y	Ref	5	32978	3	Removed
RefBatch6O	Ref	6	32978	3	Removed
RefBatch12	Ref	1	32978	3	Removed
RegenNonRegen125	NO	7	32864	2	NO1
RegenNonRegen126	YES	7	32864	1	YES1
RegenNonRegen127	YES	7	32864	1	YES1
RegenNonRegen129	NO	7	32865	2	NO1
RegenNonRegen130	YES	5	32746	1	YES1
RegenNonRegen132	NO	5	32746	2	NO1
RegenNonRegen133	YES	5	32746	1	YES1
RegenNonRegen134	NO	5	32746	2	NO1
RegenNonRegen135	NO	5	32746	2	NO1
RegenNonRegen136	NO	5	32746	2	Removed
RegenNonRegen137	YES	5	32746	1	YES1
RegenNonRegen138	NO	5	32746	2	NO1
RegenNonRegen139	NO	7	32746	2	Removed
RegenNonRegen141	YES	7	32746	1	Removed
RegenNonRegen142	YES	5	32744	1	YES1
RegenNonRegen143	NO	5	32744	2	NO1
RegenNonRegen144	NO	5	32744	2	NO1
RegenNonRegen145	YES	5	32744	1	YES1
RegenNonRegen146	NO	5	32744	2	NO1
RegenNonRegen147	YES	5	32744	1	YES1
RegenNonRegen148	YES	5	32744	1	YES1
RegenNonRegen149	NO	5	32742	2	NO1
RegenNonRegen150	NO	5	32742	2	NO1
RegenNonRegen151	NO	5	32742	2	NO1
RegenNonRegen152	NO	5	32742	2	Removed
RegenNonRegen153	NO	5	32742	2	NO1
RegenNonRegen154	YES	5	32742	1	YES1
RegenNonRegen155	YES	5	32742	1	YES1
RegenNonRegen156	NO	5	32742	2	NO1
RegenNonRegen157	NO	5	32742	2	NO1
RegenNonRegen158	NO	5	32742	2	NO1
RegenNonRegen159	NO	5	32742	2	NO1
RegenNonRegen160	NO	5	32742	2	NO1
RegenNonRegen161	YES	5	32741	1	YES1
RegenNonRegen162	NO	5	32741	2	NO1
RegenNonRegen163	NO	5	32741	2	NO1
RegenNonRegen164	YES	5	32741	1	YES1
RegenNonRegen165	NO	5	32741	2	NO1
RegenNonRegen166	NO	5	32741	2	NO1
RegenNonRegen167	NO	5	32741	2	NO1
RegenNonRegen168	YES	5	32741	1	YES1
